y	yend	x	xend	clickSelects	showSelected1	PANEL
0	0	118217.486	118217.807	chr11:118217054-118218159	1	2
0	0	118217.486	118217.807	chr11:118217054-118218159	2	2
0	0	118217.682	118217.807	chr11:118217054-118218159	3	2
0	0	118217.682	118217.807	chr11:118217054-118218159	4	2
0	0	118217.682	118217.807	chr11:118217054-118218159	4	3
0	0	118217.682	118217.807	chr11:118217054-118218159	3	4
0	0	118217.682	118217.807	chr11:118217054-118218159	4	4
0	0	118217.486	118217.807	chr11:118217054-118218159	2	5
0	0	118217.682	118217.807	chr11:118217054-118218159	3	5
0	0	118217.682	118217.807	chr11:118217054-118218159	4	5
