y	yend	x	xend	clickSelects	showSelected1	PANEL
0	0	118173.366	118174.493	chr11:118170511-118174945	4	2
0	0	118173.366	118174.493	chr11:118170511-118174945	1	3
0	0	118173.366	118174.493	chr11:118170511-118174945	2	3
0	0	118173.366	118174.493	chr11:118170511-118174945	3	3
0	0	118173.366	118174.493	chr11:118170511-118174945	4	3
0	0	118173.366	118174.493	chr11:118170511-118174945	2	4
0	0	118173.366	118174.493	chr11:118170511-118174945	3	4
0	0	118173.366	118174.493	chr11:118170511-118174945	4	4
0	0	118173.366	118174.493	chr11:118170511-118174945	3	5
0	0	118173.366	118174.493	chr11:118170511-118174945	4	5
