y	yend	x	xend	clickSelects	showSelected1	PANEL
0	0	118222.151	118222.332	chr11:118221566-118222673	1	2
0	0	118222.151	118222.332	chr11:118221566-118222673	2	2
0	0	118222.209	118222.332	chr11:118221566-118222673	3	2
0	0	118222.209	118222.332	chr11:118221566-118222673	4	2
0	0	118222.151	118222.332	chr11:118221566-118222673	2	3
0	0	118222.209	118222.332	chr11:118221566-118222673	3	3
0	0	118222.209	118222.332	chr11:118221566-118222673	4	3
0	0	118222.209	118222.332	chr11:118221566-118222673	3	4
0	0	118222.209	118222.332	chr11:118221566-118222673	4	4
0	0	118222.209	118222.332	chr11:118221566-118222673	4	5
