y	yend	x	xend	clickSelects	showSelected1	PANEL
0	0	118179.002	118179.325	chr11:118178680-118180256	2	2
0	0	118179.002	118179.325	chr11:118178680-118180256	3	2
0	0	118179.002	118179.325	chr11:118178680-118180256	4	2
0	0	118179.002	118179.325	chr11:118178680-118180256	4	3
0	0	118179.002	118179.325	chr11:118178680-118180256	1	4
0	0	118179.002	118179.325	chr11:118178680-118180256	2	4
0	0	118179.002	118179.325	chr11:118178680-118180256	3	4
0	0	118179.002	118179.325	chr11:118178680-118180256	4	4
0	0	118179.002	118179.325	chr11:118178680-118180256	3	5
0	0	118179.002	118179.325	chr11:118178680-118180256	4	5
