linetype	xmin	xmax	showSelected1	showSelected3	PANEL	group
0	118173.358	118176.231	chr11:118175144-118176570	correct	1	1
0	118176.442	118181.782	chr11:118175144-118176570	correct	1	1
0	118207.607	118211.434	chr11:118210640-118211926	correct	1	2
0	118213.055	118214.022	chr11:118211927-118213402	correct	1	3
0	118214.653	118215.916	chr11:118214880-118216310	correct	1	4
0	118216.57	118220.883	chr11:118216311-118217053	correct	1	5
0	118222.047	118228.604	chr11:118227122-118228294	correct	1	6
3	118229.419	118230.534	chr11:118230212-118231217	false negative	1	59
3	118230.778	118232.881	chr11:118230212-118231217	false negative	1	59
0	118173.358	118176.231	chr11:118174866-118177024	correct	1	8
0	118176.442	118181.782	chr11:118174866-118177024	correct	1	8
0	118207.607	118211.434	chr11:118210926-118211667	correct	1	9
0	118213.055	118214.022	chr11:118211668-118213341	correct	1	10
0	118214.653	118215.916	chr11:118214905-118217190	correct	1	11
0	118216.57	118220.883	chr11:118214905-118217190	correct	1	11
0	118222.047	118228.604	chr11:118224813-118226715	correct	1	12
3	118229.419	118230.534	chr11:118230179-118231781	false negative	1	64
3	118230.778	118232.881	chr11:118230179-118231781	false negative	1	64
0	118173.358	118176.231	chr11:118175139-118176578	correct	1	14
0	118176.442	118181.782	chr11:118175139-118176578	correct	1	14
0	118207.607	118211.434	chr11:118209536-118211789	correct	1	15
0	118213.055	118214.022	chr11:118211790-118213354	correct	1	16
0	118214.653	118215.916	chr11:118214509-118217408	correct	1	17
0	118216.57	118220.883	chr11:118214509-118217408	correct	1	17
0	118222.047	118228.604	chr11:118221068-118225263	correct	1	18
3	118229.419	118230.534	chr11:118229400-118231571	false negative	1	69
3	118230.778	118232.881	chr11:118229400-118231571	false negative	1	69
0	118173.358	118176.231	chr11:118174953-118176654	correct	1	20
0	118176.442	118181.782	chr11:118174953-118176654	correct	1	20
0	118207.607	118211.434	chr11:118209252-118213860	correct	1	21
0	118213.055	118214.022	chr11:118209252-118213860	correct	1	21
0	118214.653	118215.916	chr11:118214496-118218828	correct	1	22
0	118216.57	118220.883	chr11:118214496-118218828	correct	1	22
0	118222.047	118228.604	chr11:118224849-118228003	correct	1	23
3	118229.419	118230.534	chr11:118228456-118231646	false negative	1	73
3	118230.778	118232.881	chr11:118228456-118231646	false negative	1	73
0	118173.358	118176.231	chr11:118174946-118177139	correct	1	25
0	118176.442	118181.782	chr11:118174946-118177139	correct	1	25
0	118207.607	118211.434	chr11:118208777-118213897	correct	1	26
0	118213.055	118214.022	chr11:118208777-118213897	correct	1	26
0	118214.653	118215.916	chr11:118213898-118218859	correct	1	27
0	118216.57	118220.883	chr11:118213898-118218859	correct	1	27
0	118222.047	118228.604	chr11:118218860-118229258	correct	1	28
3	118229.419	118230.534	chr11:118229259-118233705	false negative	1	77
3	118230.778	118232.881	chr11:118229259-118233705	false negative	1	77
0	118173.358	118176.231	chr11:118171577-118178639	correct	1	30
0	118176.442	118181.782	chr11:118171577-118178639	correct	1	30
0	118207.607	118211.434	chr11:118208371-118214262	correct	1	31
0	118213.055	118214.022	chr11:118208371-118214262	correct	1	31
0	118214.653	118215.916	chr11:118214263-118219522	correct	1	32
0	118216.57	118220.883	chr11:118214263-118219522	correct	1	32
0	118222.047	118228.604	chr11:118219523-118225461	correct	1	33
3	118229.419	118230.534	chr11:118226161-118233711	false negative	1	81
3	118230.778	118232.881	chr11:118226161-118233711	false negative	1	81
0	118173.358	118176.231	chr11:118170572-118179444	correct	1	35
0	118176.442	118181.782	chr11:118170572-118179444	correct	1	35
0	118207.607	118211.434	chr11:118207606-118220428	correct	1	36
0	118213.055	118214.022	chr11:118207606-118220428	correct	1	36
0	118214.653	118215.916	chr11:118207606-118220428	correct	1	36
0	118216.57	118220.883	chr11:118207606-118220428	correct	1	36
0	118222.047	118228.604	chr11:118224254-118234051	correct	1	37
3	118229.419	118230.534	chr11:118224254-118234051	false negative	1	84
3	118230.778	118232.881	chr11:118224254-118234051	false negative	1	84
0	118173.358	118176.231	chr11:118169778-118184378	correct	1	38
0	118176.442	118181.782	chr11:118169778-118184378	correct	1	38
0	118207.607	118211.434	chr11:118208100-118222359	correct	1	39
0	118213.055	118214.022	chr11:118208100-118222359	correct	1	39
0	118214.653	118215.916	chr11:118208100-118222359	correct	1	39
0	118216.57	118220.883	chr11:118208100-118222359	correct	1	39
0	118222.047	118228.604	chr11:118222360-118239987	correct	1	40
3	118229.419	118230.534	chr11:118222360-118239987	false negative	1	87
3	118230.778	118232.881	chr11:118222360-118239987	false negative	1	87
0	118173.358	118176.231	chr11:118166081-118182712	correct	1	41
0	118176.442	118181.782	chr11:118166081-118182712	correct	1	41
0	118207.607	118211.434	chr11:118200904-118225604	correct	1	42
0	118213.055	118214.022	chr11:118200904-118225604	correct	1	42
0	118214.653	118215.916	chr11:118200904-118225604	correct	1	42
0	118216.57	118220.883	chr11:118200904-118225604	correct	1	42
0	118222.047	118228.604	chr11:118200904-118225604	correct	1	42
3	118229.419	118230.534	chr11:118225605-118243804	false negative	1	90
3	118230.778	118232.881	chr11:118225605-118243804	false negative	1	90
0	118173.358	118176.231	chr11:118170310-118195238	correct	1	44
0	118176.442	118181.782	chr11:118170310-118195238	correct	1	44
0	118207.607	118211.434	chr11:118195500-118224233	correct	1	45
0	118213.055	118214.022	chr11:118195500-118224233	correct	1	45
0	118214.653	118215.916	chr11:118195500-118224233	correct	1	45
0	118216.57	118220.883	chr11:118195500-118224233	correct	1	45
0	118222.047	118228.604	chr11:118224234-118249203	correct	1	46
3	118229.419	118230.534	chr11:118224234-118249203	false negative	1	93
3	118230.778	118232.881	chr11:118224234-118249203	false negative	1	93
0	118173.358	118176.231	chr11:118150742-118195371	correct	1	47
0	118176.442	118181.782	chr11:118150742-118195371	correct	1	47
0	118207.607	118211.434	chr11:118195372-118224236	correct	1	48
0	118213.055	118214.022	chr11:118195372-118224236	correct	1	48
0	118214.653	118215.916	chr11:118195372-118224236	correct	1	48
0	118216.57	118220.883	chr11:118195372-118224236	correct	1	48
0	118222.047	118228.604	chr11:118224237-118256837	correct	1	49
3	118229.419	118230.534	chr11:118224237-118256837	false negative	1	96
3	118230.778	118232.881	chr11:118224237-118256837	false negative	1	96
0	118173.358	118176.231	chr11:118139927-118194115	correct	1	50
0	118176.442	118181.782	chr11:118139927-118194115	correct	1	50
0	118207.607	118211.434	chr11:118194116-118250799	correct	1	51
0	118213.055	118214.022	chr11:118194116-118250799	correct	1	51
0	118214.653	118215.916	chr11:118194116-118250799	correct	1	51
0	118216.57	118220.883	chr11:118194116-118250799	correct	1	51
0	118222.047	118228.604	chr11:118194116-118250799	correct	1	51
3	118229.419	118230.534	chr11:118194116-118250799	false negative	1	98
3	118230.778	118232.881	chr11:118194116-118250799	false negative	1	98
0	118173.358	118176.231	chr11:118125367-118194817	correct	1	52
0	118176.442	118181.782	chr11:118125367-118194817	correct	1	52
0	118207.607	118211.434	chr11:118194818-118266077	correct	1	53
0	118213.055	118214.022	chr11:118194818-118266077	correct	1	53
0	118214.653	118215.916	chr11:118194818-118266077	correct	1	53
0	118216.57	118220.883	chr11:118194818-118266077	correct	1	53
0	118222.047	118228.604	chr11:118194818-118266077	correct	1	53
3	118229.419	118230.534	chr11:118194818-118266077	false negative	1	100
3	118230.778	118232.881	chr11:118194818-118266077	false negative	1	100
3	118173.358	118176.231	chr11:118175144-118176570	false negative	2	54
3	118176.442	118181.782	chr11:118175144-118176570	false negative	2	54
3	118207.607	118211.434	chr11:118210640-118211926	false negative	2	55
3	118213.055	118214.022	chr11:118211927-118213402	false negative	2	56
3	118214.653	118215.916	chr11:118214880-118216310	false negative	2	57
3	118216.57	118220.883	chr11:118216311-118217053	false negative	2	58
0	118222.047	118228.604	chr11:118227122-118228294	correct	2	6
3	118229.419	118230.534	chr11:118230212-118231217	false negative	2	59
3	118230.778	118232.881	chr11:118230212-118231217	false negative	2	59
3	118173.358	118176.231	chr11:118174866-118177024	false negative	2	60
3	118176.442	118181.782	chr11:118174866-118177024	false negative	2	60
3	118207.607	118211.434	chr11:118210926-118211667	false negative	2	61
3	118213.055	118214.022	chr11:118211668-118213341	false negative	2	62
3	118214.653	118215.916	chr11:118214905-118217190	false negative	2	63
3	118216.57	118220.883	chr11:118214905-118217190	false negative	2	63
0	118222.047	118228.604	chr11:118224813-118226715	correct	2	12
3	118229.419	118230.534	chr11:118230179-118231781	false negative	2	64
3	118230.778	118232.881	chr11:118230179-118231781	false negative	2	64
3	118173.358	118176.231	chr11:118175139-118176578	false negative	2	65
3	118176.442	118181.782	chr11:118175139-118176578	false negative	2	65
3	118207.607	118211.434	chr11:118209536-118211789	false negative	2	66
3	118213.055	118214.022	chr11:118211790-118213354	false negative	2	67
3	118214.653	118215.916	chr11:118214509-118217408	false negative	2	68
3	118216.57	118220.883	chr11:118214509-118217408	false negative	2	68
0	118222.047	118228.604	chr11:118221068-118225263	correct	2	18
3	118229.419	118230.534	chr11:118229400-118231571	false negative	2	69
3	118230.778	118232.881	chr11:118229400-118231571	false negative	2	69
3	118173.358	118176.231	chr11:118174953-118176654	false negative	2	70
3	118176.442	118181.782	chr11:118174953-118176654	false negative	2	70
3	118207.607	118211.434	chr11:118209252-118213860	false negative	2	71
3	118213.055	118214.022	chr11:118209252-118213860	false negative	2	71
3	118214.653	118215.916	chr11:118214496-118218828	false negative	2	72
3	118216.57	118220.883	chr11:118214496-118218828	false negative	2	72
0	118222.047	118228.604	chr11:118224849-118228003	correct	2	23
3	118229.419	118230.534	chr11:118228456-118231646	false negative	2	73
3	118230.778	118232.881	chr11:118228456-118231646	false negative	2	73
3	118173.358	118176.231	chr11:118174946-118177139	false negative	2	74
3	118176.442	118181.782	chr11:118174946-118177139	false negative	2	74
3	118207.607	118211.434	chr11:118208777-118213897	false negative	2	75
3	118213.055	118214.022	chr11:118208777-118213897	false negative	2	75
3	118214.653	118215.916	chr11:118213898-118218859	false negative	2	76
3	118216.57	118220.883	chr11:118213898-118218859	false negative	2	76
0	118222.047	118228.604	chr11:118218860-118229258	correct	2	28
3	118229.419	118230.534	chr11:118229259-118233705	false negative	2	77
3	118230.778	118232.881	chr11:118229259-118233705	false negative	2	77
3	118173.358	118176.231	chr11:118171577-118178639	false negative	2	78
3	118176.442	118181.782	chr11:118171577-118178639	false negative	2	78
3	118207.607	118211.434	chr11:118208371-118214262	false negative	2	79
3	118213.055	118214.022	chr11:118208371-118214262	false negative	2	79
3	118214.653	118215.916	chr11:118214263-118219522	false negative	2	80
3	118216.57	118220.883	chr11:118214263-118219522	false negative	2	80
0	118222.047	118228.604	chr11:118219523-118225461	correct	2	33
3	118229.419	118230.534	chr11:118226161-118233711	false negative	2	81
3	118230.778	118232.881	chr11:118226161-118233711	false negative	2	81
3	118173.358	118176.231	chr11:118170572-118179444	false negative	2	82
3	118176.442	118181.782	chr11:118170572-118179444	false negative	2	82
3	118207.607	118211.434	chr11:118207606-118220428	false negative	2	83
3	118213.055	118214.022	chr11:118207606-118220428	false negative	2	83
3	118214.653	118215.916	chr11:118207606-118220428	false negative	2	83
3	118216.57	118220.883	chr11:118207606-118220428	false negative	2	83
0	118222.047	118228.604	chr11:118224254-118234051	correct	2	37
3	118229.419	118230.534	chr11:118224254-118234051	false negative	2	84
