y	yend	x	xend	clickSelects	showSelected1	PANEL
0	0	118194.118	118194.753	chr11:118193672-118195893	2	2
0	0	118194.349	118194.748	chr11:118193672-118195893	3	2
0	0	118194.349	118194.748	chr11:118193672-118195893	4	2
0	0	118194.349	118194.748	chr11:118193672-118195893	4	3
0	0	118194.349	118194.748	chr11:118193672-118195893	3	4
0	0	118194.349	118194.748	chr11:118193672-118195893	4	4
0	0	118194.118	118194.753	chr11:118193672-118195893	1	5
0	0	118194.118	118194.753	chr11:118193672-118195893	2	5
0	0	118194.349	118194.748	chr11:118193672-118195893	3	5
0	0	118194.349	118194.748	chr11:118193672-118195893	4	5
