y	yend	x	xend	clickSelects	showSelected1	PANEL
0	0	118179.038	118179.96	chr11:118178171-118180360	3	2
0	0	118178.948	118179.96	chr11:118178171-118180360	4	2
0	0	118178.948	118179.96	chr11:118178171-118180360	4	3
0	0	118179.009	118179.856	chr11:118178171-118180360	1	4
0	0	118178.947	118179.959	chr11:118178171-118180360	2	4
0	0	118179.038	118179.96	chr11:118178171-118180360	3	4
0	0	118178.948	118179.96	chr11:118178171-118180360	4	4
0	0	118178.947	118179.959	chr11:118178171-118180360	2	5
0	0	118179.038	118179.96	chr11:118178171-118180360	3	5
0	0	118178.948	118179.96	chr11:118178171-118180360	4	5
