y	yend	x	xend	clickSelects	showSelected1	PANEL
0	0	118197.961	118200.186	chr11:118195416-118202706	1	2
0	0	118197.961	118200.186	chr11:118195416-118202706	2	2
0	0	118197.961	118200.186	chr11:118195416-118202706	3	2
0	0	118197.961	118200.186	chr11:118195416-118202706	4	2
0	0	118197.961	118200.186	chr11:118195416-118202706	3	3
0	0	118197.961	118200.186	chr11:118195416-118202706	4	3
0	0	118197.961	118200.186	chr11:118195416-118202706	2	4
0	0	118197.961	118200.186	chr11:118195416-118202706	3	4
0	0	118197.961	118200.186	chr11:118195416-118202706	4	4
0	0	118197.961	118200.186	chr11:118195416-118202706	4	5
