y	yend	x	xend	clickSelects	showSelected1	PANEL
0	0	118198.643	118198.78	chr11:118197630-118199059	3	2
0	0	118198.322	118198.805	chr11:118197630-118199059	4	2
0	0	118198.643	118198.78	chr11:118197630-118199059	2	3
0	0	118198.643	118198.78	chr11:118197630-118199059	3	3
0	0	118198.322	118198.805	chr11:118197630-118199059	4	3
0	0	118198.322	118198.805	chr11:118197630-118199059	4	4
0	0	118198.322	118198.805	chr11:118197630-118199059	1	5
0	0	118198.643	118198.78	chr11:118197630-118199059	2	5
0	0	118198.643	118198.78	chr11:118197630-118199059	3	5
0	0	118198.322	118198.805	chr11:118197630-118199059	4	5
