y	yend	x	xend	clickSelects	showSelected1	PANEL
0	0	118220.691	118221.02	chr11:118219849-118221564	2	2
0	0	118220.691	118221.02	chr11:118219849-118221564	3	2
0	0	118220.691	118221.02	chr11:118219849-118221564	4	2
0	0	118220.691	118221.02	chr11:118219849-118221564	4	3
0	0	118220.691	118221.02	chr11:118219849-118221564	1	4
0	0	118220.691	118221.02	chr11:118219849-118221564	2	4
0	0	118220.691	118221.02	chr11:118219849-118221564	3	4
0	0	118220.691	118221.02	chr11:118219849-118221564	4	4
0	0	118220.691	118221.02	chr11:118219849-118221564	3	5
0	0	118220.691	118221.02	chr11:118219849-118221564	4	5
