xmin	xmax	clickSelects	showSelected1	PANEL	group
-2.66332762061181	4.56662013656823	chr11:118172963-118174591	chr11:118172963-118174591	1	1
4.56662013656823	4.68867974325292	chr11:118172963-118174591	chr11:118172963-118174591	1	1
4.68867974325292	6.18616354442008	chr11:118172963-118174591	chr11:118172963-118174591	1	1
6.18616354442008	6.94291306866058	chr11:118172963-118174591	chr11:118172963-118174591	1	1
6.94291306866058	13.4595888082568	chr11:118172963-118174591	chr11:118172963-118174591	1	1
-2.66332762061181	4.49082218454305	chr11:118175144-118176570	chr11:118175144-118176570	1	2
4.49082218454305	5.74006603109301	chr11:118175144-118176570	chr11:118175144-118176570	1	2
5.74006603109301	8.32406160262902	chr11:118175144-118176570	chr11:118175144-118176570	1	2
8.32406160262902	9.23083847465723	chr11:118175144-118176570	chr11:118175144-118176570	1	2
9.23083847465723	13.4595888082568	chr11:118175144-118176570	chr11:118175144-118176570	1	2
-2.66332762061181	0.213464534634098	chr11:118176571-118177178	chr11:118176571-118177178	1	3
0.213464534634098	2.49590509714178	chr11:118176571-118177178	chr11:118176571-118177178	1	3
2.49590509714178	4.70975538126024	chr11:118176571-118177178	chr11:118176571-118177178	1	3
4.70975538126024	13.4595888082568	chr11:118176571-118177178	chr11:118176571-118177178	1	3
-2.66332762061181	3.5721734217813	chr11:118177179-118178055	chr11:118177179-118178055	1	4
3.5721734217813	4.19362963208374	chr11:118177179-118178055	chr11:118177179-118178055	1	4
4.19362963208374	4.85746701989542	chr11:118177179-118178055	chr11:118177179-118178055	1	4
4.85746701989542	6.14949773730665	chr11:118177179-118178055	chr11:118177179-118178055	1	4
6.14949773730665	13.4595888082568	chr11:118177179-118178055	chr11:118177179-118178055	1	4
-2.66332762061181	1.38958771036671	chr11:118178056-118178679	chr11:118178056-118178679	1	5
1.38958771036671	3.78832862579322	chr11:118178056-118178679	chr11:118178056-118178679	1	5
3.78832862579322	5.32919160239556	chr11:118178056-118178679	chr11:118178056-118178679	1	5
5.32919160239556	5.84339189161571	chr11:118178056-118178679	chr11:118178056-118178679	1	5
5.84339189161571	13.4595888082568	chr11:118178056-118178679	chr11:118178056-118178679	1	5
-2.66332762061181	4.0458411227792	chr11:118178680-118180256	chr11:118178680-118180256	1	6
4.0458411227792	4.41005088479906	chr11:118178680-118180256	chr11:118178680-118180256	1	6
4.41005088479906	6.04611775705977	chr11:118178680-118180256	chr11:118178680-118180256	1	6
6.04611775705977	7.2528401353474	chr11:118178680-118180256	chr11:118178680-118180256	1	6
7.2528401353474	13.4595888082568	chr11:118178680-118180256	chr11:118178680-118180256	1	6
-2.66332762061181	4.60516209677431	chr11:118180412-118181804	chr11:118180412-118181804	1	7
4.60516209677431	5.57525184086119	chr11:118180412-118181804	chr11:118180412-118181804	1	7
5.57525184086119	6.35299564618101	chr11:118180412-118181804	chr11:118180412-118181804	1	7
6.35299564618101	7.58095949398892	chr11:118180412-118181804	chr11:118180412-118181804	1	7
7.58095949398892	13.4595888082568	chr11:118180412-118181804	chr11:118180412-118181804	1	7
-2.66332762061181	3.92273565180343	chr11:118181805-118182930	chr11:118181805-118182930	1	8
3.92273565180343	5.62870175550928	chr11:118181805-118182930	chr11:118181805-118182930	1	8
5.62870175550928	6.65506488307992	chr11:118181805-118182930	chr11:118181805-118182930	1	8
6.65506488307992	13.4595888082568	chr11:118181805-118182930	chr11:118181805-118182930	1	8
-2.66332762061181	0.650384342860049	chr11:118182931-118183687	chr11:118182931-118183687	1	9
0.650384342860049	4.96810352396416	chr11:118182931-118183687	chr11:118182931-118183687	1	9
4.96810352396416	5.42639405835742	chr11:118182931-118183687	chr11:118182931-118183687	1	9
5.42639405835742	13.4595888082568	chr11:118182931-118183687	chr11:118182931-118183687	1	9
-2.66332762061181	2.86757885581312	chr11:118183688-118184421	chr11:118183688-118184421	1	10
2.86757885581312	3.61450099191035	chr11:118183688-118184421	chr11:118183688-118184421	1	10
3.61450099191035	4.16763345073621	chr11:118183688-118184421	chr11:118183688-118184421	1	10
4.16763345073621	5.32960015601729	chr11:118183688-118184421	chr11:118183688-118184421	1	10
5.32960015601729	13.4595888082568	chr11:118183688-118184421	chr11:118183688-118184421	1	10
-2.66332762061181	13.4595888082568	chr11:118184422-118184700	chr11:118184422-118184700	1	11
-2.66332762061181	3.08458304729031	chr11:118184701-118185739	chr11:118184701-118185739	1	12
3.08458304729031	3.97446883178125	chr11:118184701-118185739	chr11:118184701-118185739	1	12
3.97446883178125	4.81295105942095	chr11:118184701-118185739	chr11:118184701-118185739	1	12
4.81295105942095	5.6911163800338	chr11:118184701-118185739	chr11:118184701-118185739	1	12
5.6911163800338	13.4595888082568	chr11:118184701-118185739	chr11:118184701-118185739	1	12
-2.66332762061181	4.68459558723554	chr11:118185740-118186797	chr11:118185740-118186797	1	13
4.68459558723554	4.73774984015501	chr11:118185740-118186797	chr11:118185740-118186797	1	13
4.73774984015501	5.11476237742223	chr11:118185740-118186797	chr11:118185740-118186797	1	13
5.11476237742223	6.19416690060093	chr11:118185740-118186797	chr11:118185740-118186797	1	13
6.19416690060093	13.4595888082568	chr11:118185740-118186797	chr11:118185740-118186797	1	13
-2.66332762061181	6.13337866511499	chr11:118186798-118187477	chr11:118186798-118187477	1	14
6.13337866511499	6.50753360586101	chr11:118186798-118187477	chr11:118186798-118187477	1	14
6.50753360586101	6.61480912050444	chr11:118186798-118187477	chr11:118186798-118187477	1	14
6.61480912050444	7.37024897101488	chr11:118186798-118187477	chr11:118186798-118187477	1	14
7.37024897101488	13.4595888082568	chr11:118186798-118187477	chr11:118186798-118187477	1	14
-2.66332762061181	1.85836873596986	chr11:118187478-118188401	chr11:118187478-118188401	1	15
1.85836873596986	3.78746572947091	chr11:118187478-118188401	chr11:118187478-118188401	1	15
3.78746572947091	6.25879929102328	chr11:118187478-118188401	chr11:118187478-118188401	1	15
6.25879929102328	7.25033601594728	chr11:118187478-118188401	chr11:118187478-118188401	1	15
7.25033601594728	13.4595888082568	chr11:118187478-118188401	chr11:118187478-118188401	1	15
-2.66332762061181	4.07072862980293	chr11:118188402-118190759	chr11:118188402-118190759	1	16
4.07072862980293	4.99857947016044	chr11:118188402-118190759	chr11:118188402-118190759	1	16
4.99857947016044	6.34473062062689	chr11:118188402-118190759	chr11:118188402-118190759	1	16
6.34473062062689	13.4595888082568	chr11:118188402-118190759	chr11:118188402-118190759	1	16
-2.66332762061181	5.28132508572905	chr11:118190760-118191990	chr11:118190760-118191990	1	17
5.28132508572905	6.14496678463635	chr11:118190760-118191990	chr11:118190760-118191990	1	17
6.14496678463635	6.55921450893202	chr11:118190760-118191990	chr11:118190760-118191990	1	17
6.55921450893202	6.73576487573691	chr11:118190760-118191990	chr11:118190760-118191990	1	17
6.73576487573691	13.4595888082568	chr11:118190760-118191990	chr11:118190760-118191990	1	17
-2.66332762061181	2.26860978072531	chr11:118191991-118192950	chr11:118191991-118192950	1	18
2.26860978072531	4.08105028878367	chr11:118191991-118192950	chr11:118191991-118192950	1	18
4.08105028878367	5.16113688307443	chr11:118191991-118192950	chr11:118191991-118192950	1	18
5.16113688307443	6.41665820864529	chr11:118191991-118192950	chr11:118191991-118192950	1	18
