y	yend	x	xend	clickSelects	showSelected1	PANEL
0	0	118180.97	118181.546	chr11:118180381-118182034	2	2
0	0	118180.893	118181.546	chr11:118180381-118182034	3	2
0	0	118180.893	118181.546	chr11:118180381-118182034	4	2
0	0	118180.893	118181.546	chr11:118180381-118182034	3	3
0	0	118180.893	118181.546	chr11:118180381-118182034	4	3
0	0	118180.969	118181.484	chr11:118180381-118182034	1	4
0	0	118180.97	118181.546	chr11:118180381-118182034	2	4
0	0	118180.893	118181.546	chr11:118180381-118182034	3	4
0	0	118180.893	118181.546	chr11:118180381-118182034	4	4
0	0	118180.893	118181.546	chr11:118180381-118182034	4	5
