y	yend	x	xend	clickSelects	showSelected1	PANEL
0	0	118232.119	118232.804	chr11:118231780-118233718	4	2
0	0	118232.143	118232.493	chr11:118231780-118233718	3	3
0	0	118232.119	118232.804	chr11:118231780-118233718	4	3
0	0	118232.236	118232.804	chr11:118231780-118233718	2	4
0	0	118232.143	118232.493	chr11:118231780-118233718	3	4
0	0	118232.119	118232.804	chr11:118231780-118233718	4	4
0	0	118231.982	118232.794	chr11:118231780-118233718	1	5
0	0	118232.236	118232.804	chr11:118231780-118233718	2	5
0	0	118232.143	118232.493	chr11:118231780-118233718	3	5
0	0	118232.119	118232.804	chr11:118231780-118233718	4	5
