x	y	label	showSelected1	showSelected2	PANEL	group
5.39813059382248	4.5	1.6 kb in problem chr11:118172963-118174591	chr11:118172963-118174591	1629	1	1
5.39813059382248	4.5	1.4 kb in problem chr11:118175144-118176570	chr11:118175144-118176570	1629	1	2
5.39813059382248	4.5	0.6 kb in problem chr11:118176571-118177178	chr11:118176571-118177178	1629	1	3
5.39813059382248	4.5	0.9 kb in problem chr11:118177179-118178055	chr11:118177179-118178055	1629	1	4
5.39813059382248	4.5	0.6 kb in problem chr11:118178056-118178679	chr11:118178056-118178679	1629	1	5
5.39813059382248	4.5	1.6 kb in problem chr11:118178680-118180256	chr11:118178680-118180256	1629	1	6
5.39813059382248	4.5	1.4 kb in problem chr11:118180412-118181804	chr11:118180412-118181804	1629	1	7
5.39813059382248	4.5	1.1 kb in problem chr11:118181805-118182930	chr11:118181805-118182930	1629	1	8
5.39813059382248	4.5	0.8 kb in problem chr11:118182931-118183687	chr11:118182931-118183687	1629	1	9
5.39813059382248	4.5	0.7 kb in problem chr11:118183688-118184421	chr11:118183688-118184421	1629	1	10
5.39813059382248	4.5	0.3 kb in problem chr11:118184422-118184700	chr11:118184422-118184700	1629	1	11
5.39813059382248	4.5	1.0 kb in problem chr11:118184701-118185739	chr11:118184701-118185739	1629	1	12
5.39813059382248	4.5	1.1 kb in problem chr11:118185740-118186797	chr11:118185740-118186797	1629	1	13
5.39813059382248	4.5	0.7 kb in problem chr11:118186798-118187477	chr11:118186798-118187477	1629	1	14
5.39813059382248	4.5	0.9 kb in problem chr11:118187478-118188401	chr11:118187478-118188401	1629	1	15
5.39813059382248	4.5	2.4 kb in problem chr11:118188402-118190759	chr11:118188402-118190759	1629	1	16
5.39813059382248	4.5	1.2 kb in problem chr11:118190760-118191990	chr11:118190760-118191990	1629	1	17
5.39813059382248	4.5	1.0 kb in problem chr11:118191991-118192950	chr11:118191991-118192950	1629	1	18
5.39813059382248	4.5	0.6 kb in problem chr11:118192951-118193582	chr11:118192951-118193582	1629	1	19
5.39813059382248	4.5	1.6 kb in problem chr11:118193583-118195135	chr11:118193583-118195135	1629	1	20
5.39813059382248	4.5	1.4 kb in problem chr11:118195386-118196748	chr11:118195386-118196748	1629	1	21
5.39813059382248	4.5	0.9 kb in problem chr11:118196749-118197629	chr11:118196749-118197629	1629	1	22
5.39813059382248	4.5	1.4 kb in problem chr11:118197630-118199059	chr11:118197630-118199059	1629	1	23
5.39813059382248	4.5	1.1 kb in problem chr11:118199060-118200161	chr11:118199060-118200161	1629	1	24
5.39813059382248	4.5	1.3 kb in problem chr11:118200162-118201432	chr11:118200162-118201432	1629	1	25
5.39813059382248	4.5	1.0 kb in problem chr11:118201433-118202458	chr11:118201433-118202458	1629	1	26
5.39813059382248	4.5	1.2 kb in problem chr11:118202692-118203892	chr11:118202692-118203892	1629	1	27
5.39813059382248	4.5	0.4 kb in problem chr11:118203893-118204314	chr11:118203893-118204314	1629	1	28
5.39813059382248	4.5	1.6 kb in problem chr11:118204409-118206012	chr11:118204409-118206012	1629	1	29
5.39813059382248	4.5	0.9 kb in problem chr11:118206013-118206943	chr11:118206013-118206943	1629	1	30
5.39813059382248	4.5	1.4 kb in problem chr11:118206944-118208392	chr11:118206944-118208392	1629	1	31
5.39813059382248	4.5	1.0 kb in problem chr11:118208393-118209422	chr11:118208393-118209422	1629	1	32
5.39813059382248	4.5	1.2 kb in problem chr11:118209423-118210639	chr11:118209423-118210639	1629	1	33
5.39813059382248	4.5	1.3 kb in problem chr11:118210640-118211926	chr11:118210640-118211926	1629	1	34
5.39813059382248	4.5	1.5 kb in problem chr11:118211927-118213402	chr11:118211927-118213402	1629	1	35
5.39813059382248	4.5	1.0 kb in problem chr11:118213403-118214361	chr11:118213403-118214361	1629	1	36
5.39813059382248	4.5	1.4 kb in problem chr11:118214880-118216310	chr11:118214880-118216310	1629	1	37
5.39813059382248	4.5	0.7 kb in problem chr11:118216311-118217053	chr11:118216311-118217053	1629	1	38
5.39813059382248	4.5	1.1 kb in problem chr11:118217054-118218159	chr11:118217054-118218159	1629	1	39
5.39813059382248	4.5	1.0 kb in problem chr11:118218160-118219136	chr11:118218160-118219136	1629	1	40
5.39813059382248	4.5	1.3 kb in problem chr11:118219344-118220681	chr11:118219344-118220681	1629	1	41
5.39813059382248	4.5	0.9 kb in problem chr11:118220682-118221565	chr11:118220682-118221565	1629	1	42
5.39813059382248	4.5	1.1 kb in problem chr11:118221566-118222673	chr11:118221566-118222673	1629	1	43
5.39813059382248	4.5	0.8 kb in problem chr11:118222674-118223468	chr11:118222674-118223468	1629	1	44
5.39813059382248	4.5	1.2 kb in problem chr11:118223469-118224627	chr11:118223469-118224627	1629	1	45
5.39813059382248	4.5	0.6 kb in problem chr11:118224628-118225252	chr11:118224628-118225252	1629	1	46
5.39813059382248	4.5	1.0 kb in problem chr11:118225253-118226275	chr11:118225253-118226275	1629	1	47
5.39813059382248	4.5	0.8 kb in problem chr11:118226276-118227121	chr11:118226276-118227121	1629	1	48
5.39813059382248	4.5	1.2 kb in problem chr11:118227122-118228294	chr11:118227122-118228294	1629	1	49
5.39813059382248	4.5	1.3 kb in problem chr11:118228295-118229617	chr11:118228295-118229617	1629	1	50
5.39813059382248	4.5	0.6 kb in problem chr11:118229618-118230211	chr11:118229618-118230211	1629	1	51
5.39813059382248	4.5	1.0 kb in problem chr11:118230212-118231217	chr11:118230212-118231217	1629	1	52
