y	yend	x	xend	clickSelects	showSelected1	PANEL
0	0	118230.381	118231.096	chr11:118230179-118231781	2	2
0	0	118230.372	118231.105	chr11:118230179-118231781	3	2
0	0	118230.372	118231.108	chr11:118230179-118231781	4	2
0	0	118230.372	118231.108	chr11:118230179-118231781	4	3
0	0	118230.383	118231.11	chr11:118230179-118231781	1	4
0	0	118230.381	118231.096	chr11:118230179-118231781	2	4
0	0	118230.372	118231.105	chr11:118230179-118231781	3	4
0	0	118230.372	118231.108	chr11:118230179-118231781	4	4
0	0	118230.372	118231.105	chr11:118230179-118231781	3	5
0	0	118230.372	118231.108	chr11:118230179-118231781	4	5
