y	yend	x	xend	clickSelects	showSelected1	PANEL
2	2.05	118173.358	118176.231	chr11:118175144-118176570	1629	1
2	2.05	118176.442	118181.782	chr11:118175144-118176570	1629	1
34	34.05	118207.607	118211.434	chr11:118210640-118211926	1629	1
35	35.05	118213.055	118214.022	chr11:118211927-118213402	1629	1
37	37.05	118214.653	118215.916	chr11:118214880-118216310	1629	1
38	38.05	118216.57	118220.883	chr11:118216311-118217053	1629	1
49	49.05	118222.047	118228.604	chr11:118227122-118228294	1629	1
52	52.05	118229.419	118230.534	chr11:118230212-118231217	1629	1
52	52.05	118230.778	118232.881	chr11:118230212-118231217	1629	1
2	2.05	118173.358	118176.231	chr11:118174866-118177024	2304	1
2	2.05	118176.442	118181.782	chr11:118174866-118177024	2304	1
25	25.05	118207.607	118211.434	chr11:118210926-118211667	2304	1
26	26.05	118213.055	118214.022	chr11:118211668-118213341	2304	1
28	28.05	118214.653	118215.916	chr11:118214905-118217190	2304	1
28	28.05	118216.57	118220.883	chr11:118214905-118217190	2304	1
34	34.05	118222.047	118228.604	chr11:118224813-118226715	2304	1
38	38.05	118229.419	118230.534	chr11:118230179-118231781	2304	1
38	38.05	118230.778	118232.881	chr11:118230179-118231781	2304	1
2	2.05	118173.358	118176.231	chr11:118175139-118176578	3258	1
2	2.05	118176.442	118181.782	chr11:118175139-118176578	3258	1
21	21.05	118207.607	118211.434	chr11:118209536-118211789	3258	1
22	22.05	118213.055	118214.022	chr11:118211790-118213354	3258	1
24	24.05	118214.653	118215.916	chr11:118214509-118217408	3258	1
24	24.05	118216.57	118220.883	chr11:118214509-118217408	3258	1
28	28.05	118222.047	118228.604	chr11:118221068-118225263	3258	1
31	31.05	118229.419	118230.534	chr11:118229400-118231571	3258	1
31	31.05	118230.778	118232.881	chr11:118229400-118231571	3258	1
3	3.05	118173.358	118176.231	chr11:118174953-118176654	4608	1
3	3.05	118176.442	118181.782	chr11:118174953-118176654	4608	1
12	12.05	118207.607	118211.434	chr11:118209252-118213860	4608	1
12	12.05	118213.055	118214.022	chr11:118209252-118213860	4608	1
13	13.05	118214.653	118215.916	chr11:118214496-118218828	4608	1
13	13.05	118216.57	118220.883	chr11:118214496-118218828	4608	1
16	16.05	118222.047	118228.604	chr11:118224849-118228003	4608	1
17	17.05	118229.419	118230.534	chr11:118228456-118231646	4608	1
17	17.05	118230.778	118232.881	chr11:118228456-118231646	4608	1
2	2.05	118173.358	118176.231	chr11:118174946-118177139	6516	1
2	2.05	118176.442	118181.782	chr11:118174946-118177139	6516	1
9	9.05	118207.607	118211.434	chr11:118208777-118213897	6516	1
9	9.05	118213.055	118214.022	chr11:118208777-118213897	6516	1
10	10.05	118214.653	118215.916	chr11:118213898-118218859	6516	1
10	10.05	118216.57	118220.883	chr11:118213898-118218859	6516	1
11	11.05	118222.047	118228.604	chr11:118218860-118229258	6516	1
12	12.05	118229.419	118230.534	chr11:118229259-118233705	6516	1
12	12.05	118230.778	118232.881	chr11:118229259-118233705	6516	1
2	2.05	118173.358	118176.231	chr11:118171577-118178639	9216	1
2	2.05	118176.442	118181.782	chr11:118171577-118178639	9216	1
8	8.05	118207.607	118211.434	chr11:118208371-118214262	9216	1
8	8.05	118213.055	118214.022	chr11:118208371-118214262	9216	1
9	9.05	118214.653	118215.916	chr11:118214263-118219522	9216	1
9	9.05	118216.57	118220.883	chr11:118214263-118219522	9216	1
10	10.05	118222.047	118228.604	chr11:118219523-118225461	9216	1
11	11.05	118229.419	118230.534	chr11:118226161-118233711	9216	1
11	11.05	118230.778	118232.881	chr11:118226161-118233711	9216	1
2	2.05	118173.358	118176.231	chr11:118170572-118179444	13033	1
2	2.05	118176.442	118181.782	chr11:118170572-118179444	13033	1
8	8.05	118207.607	118211.434	chr11:118207606-118220428	13033	1
8	8.05	118213.055	118214.022	chr11:118207606-118220428	13033	1
8	8.05	118214.653	118215.916	chr11:118207606-118220428	13033	1
8	8.05	118216.57	118220.883	chr11:118207606-118220428	13033	1
9	9.05	118222.047	118228.604	chr11:118224254-118234051	13033	1
9	9.05	118229.419	118230.534	chr11:118224254-118234051	13033	1
9	9.05	118230.778	118232.881	chr11:118224254-118234051	13033	1
2	2.05	118173.358	118176.231	chr11:118169778-118184378	18432	1
2	2.05	118176.442	118181.782	chr11:118169778-118184378	18432	1
5	5.05	118207.607	118211.434	chr11:118208100-118222359	18432	1
5	5.05	118213.055	118214.022	chr11:118208100-118222359	18432	1
5	5.05	118214.653	118215.916	chr11:118208100-118222359	18432	1
5	5.05	118216.57	118220.883	chr11:118208100-118222359	18432	1
6	6.05	118222.047	118228.604	chr11:118222360-118239987	18432	1
6	6.05	118229.419	118230.534	chr11:118222360-118239987	18432	1
6	6.05	118230.778	118232.881	chr11:118222360-118239987	18432	1
2	2.05	118173.358	118176.231	chr11:118166081-118182712	26066	1
2	2.05	118176.442	118181.782	chr11:118166081-118182712	26066	1
4	4.05	118207.607	118211.434	chr11:118200904-118225604	26066	1
4	4.05	118213.055	118214.022	chr11:118200904-118225604	26066	1
4	4.05	118214.653	118215.916	chr11:118200904-118225604	26066	1
4	4.05	118216.57	118220.883	chr11:118200904-118225604	26066	1
4	4.05	118222.047	118228.604	chr11:118200904-118225604	26066	1
5	5.05	118229.419	118230.534	chr11:118225605-118243804	26066	1
5	5.05	118230.778	118232.881	chr11:118225605-118243804	26066	1
2	2.05	118173.358	118176.231	chr11:118170310-118195238	36864	1
2	2.05	118176.442	118181.782	chr11:118170310-118195238	36864	1
3	3.05	118207.607	118211.434	chr11:118195500-118224233	36864	1
3	3.05	118213.055	118214.022	chr11:118195500-118224233	36864	1
3	3.05	118214.653	118215.916	chr11:118195500-118224233	36864	1
3	3.05	118216.57	118220.883	chr11:118195500-118224233	36864	1
4	4.05	118222.047	118228.604	chr11:118224234-118249203	36864	1
4	4.05	118229.419	118230.534	chr11:118224234-118249203	36864	1
4	4.05	118230.778	118232.881	chr11:118224234-118249203	36864	1
1	1.05	118173.358	118176.231	chr11:118150742-118195371	52133	1
1	1.05	118176.442	118181.782	chr11:118150742-118195371	52133	1
2	2.05	118207.607	118211.434	chr11:118195372-118224236	52133	1
2	2.05	118213.055	118214.022	chr11:118195372-118224236	52133	1
2	2.05	118214.653	118215.916	chr11:118195372-118224236	52133	1
2	2.05	118216.57	118220.883	chr11:118195372-118224236	52133	1
3	3.05	118222.047	118228.604	chr11:118224237-118256837	52133	1
3	3.05	118229.419	118230.534	chr11:118224237-118256837	52133	1
3	3.05	118230.778	118232.881	chr11:118224237-118256837	52133	1
1	1.05	118173.358	118176.231	chr11:118139927-118194115	73728	1
1	1.05	118176.442	118181.782	chr11:118139927-118194115	73728	1
2	2.05	118207.607	118211.434	chr11:118194116-118250799	73728	1
2	2.05	118213.055	118214.022	chr11:118194116-118250799	73728	1
2	2.05	118214.653	118215.916	chr11:118194116-118250799	73728	1
2	2.05	118216.57	118220.883	chr11:118194116-118250799	73728	1
2	2.05	118222.047	118228.604	chr11:118194116-118250799	73728	1
2	2.05	118229.419	118230.534	chr11:118194116-118250799	73728	1
2	2.05	118230.778	118232.881	chr11:118194116-118250799	73728	1
1	1.05	118173.358	118176.231	chr11:118125367-118194817	104267	1
1	1.05	118176.442	118181.782	chr11:118125367-118194817	104267	1
2	2.05	118207.607	118211.434	chr11:118194818-118266077	104267	1
2	2.05	118213.055	118214.022	chr11:118194818-118266077	104267	1
2	2.05	118214.653	118215.916	chr11:118194818-118266077	104267	1
2	2.05	118216.57	118220.883	chr11:118194818-118266077	104267	1
2	2.05	118222.047	118228.604	chr11:118194818-118266077	104267	1
2	2.05	118229.419	118230.534	chr11:118194818-118266077	104267	1
2	2.05	118230.778	118232.881	chr11:118194818-118266077	104267	1
