y	yend	x	xend	clickSelects	showSelected1	PANEL
0	0	118180.311	118181.546	chr11:118179565-118184430	1	2
0	0	118180.975	118181.546	chr11:118179565-118184430	2	2
0	0	118180.975	118181.546	chr11:118179565-118184430	3	2
0	0	118180.975	118181.546	chr11:118179565-118184430	4	2
0	0	118180.975	118181.546	chr11:118179565-118184430	4	3
0	0	118180.975	118181.546	chr11:118179565-118184430	2	4
0	0	118180.975	118181.546	chr11:118179565-118184430	3	4
0	0	118180.975	118181.546	chr11:118179565-118184430	4	4
0	0	118180.975	118181.546	chr11:118179565-118184430	3	5
0	0	118180.975	118181.546	chr11:118179565-118184430	4	5
