x	xend	y	yend	showSelected1	PANEL
-2.66332762061181	4.56662013656823	4	4	chr11:118172963-118174591	2
4.56662013656823	4.68867974325292	3	3	chr11:118172963-118174591	2
4.68867974325292	6.18616354442008	2	2	chr11:118172963-118174591	2
6.18616354442008	6.94291306866058	1	1	chr11:118172963-118174591	2
6.94291306866058	13.4595888082568	0	0	chr11:118172963-118174591	2
-2.66332762061181	4.49082218454305	4	4	chr11:118175144-118176570	2
4.49082218454305	5.74006603109301	3	3	chr11:118175144-118176570	2
5.74006603109301	8.32406160262902	2	2	chr11:118175144-118176570	2
8.32406160262902	9.23083847465723	1	1	chr11:118175144-118176570	2
9.23083847465723	13.4595888082568	0	0	chr11:118175144-118176570	2
-2.66332762061181	0.213464534634098	4	4	chr11:118176571-118177178	2
0.213464534634098	2.49590509714178	3	3	chr11:118176571-118177178	2
2.49590509714178	4.70975538126024	2	2	chr11:118176571-118177178	2
4.70975538126024	13.4595888082568	0	0	chr11:118176571-118177178	2
-2.66332762061181	3.5721734217813	4	4	chr11:118177179-118178055	2
3.5721734217813	4.19362963208374	3	3	chr11:118177179-118178055	2
4.19362963208374	4.85746701989542	2	2	chr11:118177179-118178055	2
4.85746701989542	6.14949773730665	1	1	chr11:118177179-118178055	2
6.14949773730665	13.4595888082568	0	0	chr11:118177179-118178055	2
-2.66332762061181	1.38958771036671	4	4	chr11:118178056-118178679	2
1.38958771036671	3.78832862579322	3	3	chr11:118178056-118178679	2
3.78832862579322	5.32919160239556	2	2	chr11:118178056-118178679	2
5.32919160239556	5.84339189161571	1	1	chr11:118178056-118178679	2
5.84339189161571	13.4595888082568	0	0	chr11:118178056-118178679	2
-2.66332762061181	4.0458411227792	4	4	chr11:118178680-118180256	2
4.0458411227792	4.41005088479906	3	3	chr11:118178680-118180256	2
4.41005088479906	6.04611775705977	2	2	chr11:118178680-118180256	2
6.04611775705977	7.2528401353474	1	1	chr11:118178680-118180256	2
7.2528401353474	13.4595888082568	0	0	chr11:118178680-118180256	2
-2.66332762061181	4.60516209677431	4	4	chr11:118180412-118181804	2
4.60516209677431	5.57525184086119	3	3	chr11:118180412-118181804	2
5.57525184086119	6.35299564618101	2	2	chr11:118180412-118181804	2
6.35299564618101	7.58095949398892	1	1	chr11:118180412-118181804	2
7.58095949398892	13.4595888082568	0	0	chr11:118180412-118181804	2
-2.66332762061181	3.92273565180343	4	4	chr11:118181805-118182930	2
3.92273565180343	5.62870175550928	3	3	chr11:118181805-118182930	2
5.62870175550928	6.65506488307992	1	1	chr11:118181805-118182930	2
6.65506488307992	13.4595888082568	0	0	chr11:118181805-118182930	2
-2.66332762061181	0.650384342860049	4	4	chr11:118182931-118183687	2
0.650384342860049	4.96810352396416	3	3	chr11:118182931-118183687	2
4.96810352396416	5.42639405835742	2	2	chr11:118182931-118183687	2
5.42639405835742	13.4595888082568	0	0	chr11:118182931-118183687	2
-2.66332762061181	2.86757885581312	4	4	chr11:118183688-118184421	2
2.86757885581312	3.61450099191035	3	3	chr11:118183688-118184421	2
3.61450099191035	4.16763345073621	2	2	chr11:118183688-118184421	2
4.16763345073621	5.32960015601729	1	1	chr11:118183688-118184421	2
5.32960015601729	13.4595888082568	0	0	chr11:118183688-118184421	2
-2.66332762061181	13.4595888082568	0	0	chr11:118184422-118184700	2
-2.66332762061181	3.08458304729031	4	4	chr11:118184701-118185739	2
3.08458304729031	3.97446883178125	3	3	chr11:118184701-118185739	2
3.97446883178125	4.81295105942095	2	2	chr11:118184701-118185739	2
4.81295105942095	5.6911163800338	1	1	chr11:118184701-118185739	2
5.6911163800338	13.4595888082568	0	0	chr11:118184701-118185739	2
-2.66332762061181	4.68459558723554	4	4	chr11:118185740-118186797	2
4.68459558723554	4.73774984015501	3	3	chr11:118185740-118186797	2
4.73774984015501	5.11476237742223	2	2	chr11:118185740-118186797	2
5.11476237742223	6.19416690060093	1	1	chr11:118185740-118186797	2
6.19416690060093	13.4595888082568	0	0	chr11:118185740-118186797	2
-2.66332762061181	6.13337866511499	4	4	chr11:118186798-118187477	2
6.13337866511499	6.50753360586101	3	3	chr11:118186798-118187477	2
6.50753360586101	6.61480912050444	2	2	chr11:118186798-118187477	2
6.61480912050444	7.37024897101488	1	1	chr11:118186798-118187477	2
7.37024897101488	13.4595888082568	0	0	chr11:118186798-118187477	2
-2.66332762061181	1.85836873596986	4	4	chr11:118187478-118188401	2
1.85836873596986	3.78746572947091	3	3	chr11:118187478-118188401	2
3.78746572947091	6.25879929102328	2	2	chr11:118187478-118188401	2
6.25879929102328	7.25033601594728	1	1	chr11:118187478-118188401	2
7.25033601594728	13.4595888082568	0	0	chr11:118187478-118188401	2
-2.66332762061181	4.07072862980293	4	4	chr11:118188402-118190759	2
4.07072862980293	4.99857947016044	2	2	chr11:118188402-118190759	2
4.99857947016044	6.34473062062689	1	1	chr11:118188402-118190759	2
6.34473062062689	13.4595888082568	0	0	chr11:118188402-118190759	2
-2.66332762061181	5.28132508572905	4	4	chr11:118190760-118191990	2
5.28132508572905	6.14496678463635	3	3	chr11:118190760-118191990	2
6.14496678463635	6.55921450893202	2	2	chr11:118190760-118191990	2
6.55921450893202	6.73576487573691	1	1	chr11:118190760-118191990	2
6.73576487573691	13.4595888082568	0	0	chr11:118190760-118191990	2
-2.66332762061181	2.26860978072531	4	4	chr11:118191991-118192950	2
2.26860978072531	4.08105028878367	3	3	chr11:118191991-118192950	2
4.08105028878367	5.16113688307443	2	2	chr11:118191991-118192950	2
5.16113688307443	6.41665820864529	1	1	chr11:118191991-118192950	2
6.41665820864529	13.4595888082568	0	0	chr11:118191991-118192950	2
-2.66332762061181	13.4595888082568	0	0	chr11:118192951-118193582	2
-2.66332762061181	3.51450446468109	4	4	chr11:118193583-118195135	2
3.51450446468109	4.29097676350957	3	3	chr11:118193583-118195135	2
4.29097676350957	5.05158168938197	2	2	chr11:118193583-118195135	2
5.05158168938197	6.90518582632669	1	1	chr11:118193583-118195135	2
6.90518582632669	13.4595888082568	0	0	chr11:118193583-118195135	2
-2.66332762061181	1.89495460353291	4	4	chr11:118195386-118196748	2
1.89495460353291	4.65435208892829	3	3	chr11:118195386-118196748	2
4.65435208892829	5.99332217508609	2	2	chr11:118195386-118196748	2
5.99332217508609	7.90380539136158	1	1	chr11:118195386-118196748	2
7.90380539136158	13.4595888082568	0	0	chr11:118195386-118196748	2
-2.66332762061181	4.18921523904215	4	4	chr11:118196749-118197629	2
4.18921523904215	4.38034407816809	3	3	chr11:118196749-118197629	2
4.38034407816809	4.47522923687159	2	2	chr11:118196749-118197629	2
4.47522923687159	5.8569519908686	1	1	chr11:118196749-118197629	2
