y	yend	x	xend	clickSelects	showSelected1	PANEL
0	0	118230.363	118231.185	chr11:118225605-118243804	2	2
0	0	118230.355	118231.185	chr11:118225605-118243804	3	2
0	0	118230.355	118231.188	chr11:118225605-118243804	4	2
0	0	118230.355	118231.188	chr11:118225605-118243804	4	3
0	0	118230.366	118231.189	chr11:118225605-118243804	1	4
0	0	118230.363	118231.185	chr11:118225605-118243804	2	4
0	0	118230.355	118231.185	chr11:118225605-118243804	3	4
0	0	118230.355	118231.188	chr11:118225605-118243804	4	4
0	0	118230.355	118231.185	chr11:118225605-118243804	3	5
0	0	118230.355	118231.188	chr11:118225605-118243804	4	5
