y	yend	x	xend	clickSelects	showSelected1	PANEL
0	0	118233.766	118233.914	chr11:118233180-118234772	3	2
0	0	118233.766	118233.914	chr11:118233180-118234772	4	2
0	0	118233.766	118233.914	chr11:118233180-118234772	4	3
0	0	118233.766	118233.914	chr11:118233180-118234772	1	4
0	0	118233.766	118233.914	chr11:118233180-118234772	2	4
0	0	118233.766	118233.914	chr11:118233180-118234772	3	4
0	0	118233.766	118233.914	chr11:118233180-118234772	4	4
0	0	118233.766	118233.914	chr11:118233180-118234772	2	5
0	0	118233.766	118233.914	chr11:118233180-118234772	3	5
0	0	118233.766	118233.914	chr11:118233180-118234772	4	5
